"stop_id","stop_code","stop_name","stop_lat","stop_lon"
"1#208",11494,"West Market St at Old Preston",38.032708,-78.483368
"1#209",11299,"East Market St at 2nd St Ne",38.031293,-78.480547
"1#210",11313,"East Market St at 5th St Ne",38.030482,-78.477956
"1#211",11309,"East Market St at 8th St Ne",38.02997,-78.476372
"1#212",12669,"7th Street NE opposite SNL Plaza",38.030267,-78.47665
"1#213",12355,"7th Street NE at East Jefferson Street",38.03127,-78.476166
"1#214",12653,"East High Street at Tarleton Apartments",38.031616,-78.475631
"1#215",12514,"East High Street at 8th Street NE",38.03133,-78.474785
"1#216",12023,"11th Street NE at East Jefferson Street",38.029592,-78.471865
"1#217",16512,"East High Street at 9 1/2 Street NE",38.03149,-78.472738
"1#218",16475,"East High Street at Locust Avenue",38.031651,-78.47235
"1#219",13685,"East High Street at Grove Avenue (westbound)",38.031907,-78.469487
"1#220",13721,"East High Street at Grove Avenue (eastbound)",38.031798,-78.469365
"1#221",12340,"Little High Street at 11th Street NE",38.030379,-78.469833
"1#222",12611,"12th Street NE at Little High Street",38.029711,-78.467925
"1#224",12483,"Meade Avenue at Caroline Avenue",38.029142,-78.4657
"1#226",12761,"Locust Avenue at Sycamore Street",38.03296,-78.470533
"1#228",12774,"Locust Avenue at Hazel Street",38.035484,-78.468795
"1#229",12695,"Locust Avenue at 250 Bypass",38.037677,-78.466757
"1#230",12682,"Long Street at Locust Avenue",38.038338,-78.4656
"1#231",12837,"St Clair Ave at Long St",38.037368,-78.464156
"1#232",12892,"St Clair Ave at River Vista Ave",38.038363,-78.462989
"1#233",12941,"St Clair Ave at Calhoun St",38.039341,-78.461793
"1#234",12788,"St Clair Ave at Smith St",38.041665,-78.459025
"1#235",12960,"Peartree Lane at Saint Clair Avenue",38.042252,-78.458403
"1#237",12918,"Calhoun Street at Locust Avenue",38.04049,-78.463522
"1#238",12902,"Sheridan Ave at Calhoun St",38.042069,-78.465206
"1#239",12885,"North Ave at Holmes Ave",38.042761,-78.464982
"1#240",12726,"North Ave at Cottonwood Rd",38.042917,-78.467125
"1#241",12871,"North Avenue at Park Street",38.043752,-78.469728
"1#242",12757,"Park St at Davis Ave",38.041915,-78.470634
"1#243",12863,"Park St at Lyons Ave",38.039593,-78.473137
"1#244",14302,"Preston Ave at 4th St",38.034454,-78.48468
"1#245",14244,"Preston Avenue at Harris Street (westbound)",38.035047,-78.48537
"1#246",14325,"Preston Avenue at Harris Street (eastbound)",38.035171,-78.486057
"1#247",13001,"Preston Ave at Forest St",38.036775,-78.487931
"1#248",14271,"Preston Ave at Region 10",38.036785,-78.48842
"1#249",13979,"Rose Hill Drive at Dale Avenue (northbound)",38.0375,-78.487996
"1#250",13824,"Rose Hill Drive at Dale Avenue (southbound)",38.037551,-78.488183
"1#251",13713,"Preston Avenue at Preston Plaza",38.037824,-78.489279
"1#252",13807,"Rose Hill Drive at Henry Avenue (northbound)",38.038849,-78.486513
"1#253",13811,"Rose Hill Drive at Henry Avenue (southbound)",38.039161,-78.486475
"1#254",13980,"Rose Hill Drive at Madison Avenue",38.041276,-78.484021
"1#255",13967,"Rose Hill Drive at Amherst Street (northbound)",38.04277,-78.48392
"1#256",13882,"Rose Hill Drive at Amherst Street (southbound)",38.042759,-78.484104
"1#257",13848,"Rose Hill Drive at Westwood Road (northbound)",38.044176,-78.483827
